"","fileName","answer","guess1","guess2","guess3","guess4","guess5","confidence1","confidence2","confidence3","confidence4","confidence5"
"1953","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1953.jpg'",0,"11",21,22,25," 27","0.4726",0.1754,0.1126,0.0975," 0.0629"
"1954","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1955.jpg'",0,"1",11,21,22," 25","0.2891",0.2722,0.2713,0.0678," 0.0438"
"1955","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1950.jpg'",0,"11",21,22,1," 25","0.2771",0.2036,0.1717,0.1461," 0.1075"
"1956","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1956.jpg'",0,"22",1,11,21," 27","0.2579",0.2523,0.1752,0.1328," 0.0652"
"1957","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1959.jpg'",0,"21",25,22,11," 1","0.2988",0.2049,0.1517,0.1081," 0.0836"
"1958","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1958.jpg'",0,"22",25,11,21," 1","0.3404",0.235,0.1388,0.1148," 0.0898"
"1959","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1957.jpg'",0,"22",11,21,25," 1","0.2979",0.2035,0.1794,0.1081," 0.0900"
"1960","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1960.jpg'",0,"1",22,21,25," 27","0.5050",0.306,0.1151,0.0313," 0.0098"
"1961","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1962.jpg'",0,"1",22,21,27," 25","0.5056",0.2277,0.1731,0.0466," 0.0162"
"1962","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1961.jpg'",0,"1",22,21,27," 25","0.5369",0.2184,0.1873,0.0164," 0.0149"
"1963","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1965.jpg'",0,"21",22,11,25," 1","0.2602",0.1812,0.1721,0.1599," 0.0995"
"1964","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1966.jpg'",0,"21",11,22,25," 27","0.3645",0.3177,0.0942,0.0834," 0.0724"
"1965","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1963.jpg'",0,"21",25,22,11," 1","0.2492",0.1987,0.1607,0.1503," 0.1485"
"1966","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1969.jpg'",0,"11",25,21,1," 27","0.6177",0.1257,0.0695,0.0642," 0.0543"
"1967","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1967.jpg'",0,"21",22,11,25," 1","0.4962",0.1856,0.0949,0.0941," 0.0721"
"1968","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1968.jpg'",0,"11",21,22,25," 27","0.4971",0.2318,0.0967,0.0717," 0.0439"
"1969","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1964.jpg'",0,"22",21,25,1," 11","0.2681",0.2654,0.1762,0.1425," 0.0702"
"1970","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1972.jpg'",0,"11",22,25,21," 27","0.2290",0.212,0.1939,0.129," 0.1042"
"1971","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1971.jpg'",0,"11",27,25,21," 22","0.6380",0.1579,0.0855,0.0456," 0.0401"
"1972","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1973.jpg'",0,"11",21,22,25," 27","0.3467",0.2032,0.1331,0.1219," 0.0890"
"1973","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1975.jpg'",0,"21",11,1,25," 22","0.3322",0.1604,0.1498,0.1396," 0.1214"
"1974","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1976.jpg'",0,"21",11,25,27," 22","0.2906",0.2045,0.1548,0.1178," 0.1173"
"1975","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1970.jpg'",0,"11",25,1,21," 22","0.6367",0.0878,0.0825,0.075," 0.0581"
"1976","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1974.jpg'",0,"11",21,27,25," 22","0.6199",0.1588,0.0614,0.0527," 0.0515"
"1977","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1982.jpg'",0,"11",25,21,27," 22","0.6780",0.1016,0.0636,0.0624," 0.0422"
"1978","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1978.jpg'",0,"1",22,21,11," 25","0.5843",0.2474,0.0616,0.0399," 0.0351"
"1979","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1979.jpg'",0,"1",21,22,25," 11","0.4740",0.2202,0.2055,0.0347," 0.0316"
"1980","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1977.jpg'",0,"11",27,1,21," 22","0.2259",0.2227,0.1453,0.1392," 0.1235"
"1981","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1980.jpg'",0,"1",21,22,11," 25","0.5065",0.1973,0.1439,0.0881," 0.0235"
"1982","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1983.jpg'",0,"11",21,27,25," 22","0.4171",0.1715,0.1332,0.1329," 0.0837"
"1983","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1981.jpg'",0,"11",21,25,22," 27","0.3226",0.2771,0.1282,0.11," 0.0646"
"1984","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1985.jpg'",0,"11",22,25,21," 27","0.3135",0.2986,0.121,0.1069," 0.0743"
"1985","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1986.jpg'",0,"11",22,21,25," 27","0.4242",0.1671,0.1447,0.1218," 0.0640"
"1986","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1984.jpg'",0,"21",27,22,11," 25","0.4501",0.1698,0.1411,0.1192," 0.0644"
"1987","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1990.jpg'",0,"11",22,21,25," 1","0.3722",0.2293,0.1304,0.0973," 0.0722"
"1988","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1991.jpg'",0,"11",22,25,21," 27","0.3331",0.2212,0.198,0.0897," 0.0541"
"1989","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1987.jpg'",0,"27",21,11,22," 25","0.2808",0.195,0.1886,0.144," 0.1016"
"1990","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1988.jpg'",0,"11",21,25,27," 22","0.3306",0.2275,0.1552,0.145," 0.0894"
"1991","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1989.jpg'",0,"11",25,27,22," 21","0.5607",0.155,0.0853,0.0839," 0.0699"
"1992","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1993.jpg'",0,"22",21,27,25," 11","0.3082",0.2528,0.1548,0.1295," 0.0686"
"1993","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1992.jpg'",0,"21",22,11,25," 27","0.3271",0.1767,0.1746,0.1412," 0.1240"
"1994","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1994.jpg'",0,"11",25,27,21," 22","0.5429",0.15,0.1412,0.0799," 0.0601"
"1995","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1999.jpg'",0,"11",22,21,27," 25","0.5090",0.1909,0.0965,0.0862," 0.0663"
"1996","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1998.jpg'",0,"11",22,21,25," 27","0.2660",0.2305,0.1873,0.1549," 0.1103"
"1997","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1995.jpg'",0,"11",21,22,25," 27","0.5028",0.2068,0.1018,0.0727," 0.0663"
"1998","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1997.jpg'",0,"22",21,11,25," 27","0.1999",0.1986,0.1974,0.1968," 0.1229"
"1999","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2000.jpg'",0,"11",22,21,27," 25","0.3967",0.3171,0.0858,0.0822," 0.0695"
"2000","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1996.jpg'",0,"11",22,27,25," 21","0.3631",0.2213,0.1539,0.1003," 0.0959"
"2001","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2001.jpg'",0,"25",21,22,27," 11","0.3433",0.2173,0.171,0.1126," 0.0772"
"2002","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2005.jpg'",0,"22",11,25,21," 27","0.2854",0.2301,0.1688,0.144," 0.0977"
"2003","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2003.jpg'",0,"25",11,22,27," 21","0.4057",0.2262,0.1545,0.0898," 0.0768"
"2004","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2002.jpg'",0,"11",25,22,27," 21","0.6467",0.1706,0.0765,0.0541," 0.0334"
"2005","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2004.jpg'",0,"21",11,25,22," 27","0.2787",0.2056,0.181,0.1459," 0.1314"
"2006","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2006.jpg'",0,"25",22,11,21," 27","0.4292",0.1991,0.1646,0.0966," 0.0428"
"2007","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2007.jpg'",0,"11",25,21,27," 22","0.5041",0.209,0.1153,0.071," 0.0561"
"2008","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2011.jpg'",0,"27",11,25,21," 22","0.2539",0.2342,0.1829,0.1804," 0.0805"
"2009","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2012.jpg'",0,"11",27,22,25," 21","0.5139",0.1451,0.115,0.0941," 0.0833"
"2010","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2010.jpg'",0,"11",21,25,27," 22","0.2889",0.2075,0.178,0.1382," 0.1298"
"2011","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2009.jpg'",0,"11",21,25,22," 27","0.4760",0.1986,0.1162,0.0993," 0.0713"
"2012","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2008.jpg'",0,"11",27,22,25," 21","0.3435",0.1948,0.1615,0.1279," 0.1080"
"2013","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2013.jpg'",0,"11",21,25,27," 22","0.2814",0.2513,0.1778,0.1457," 0.0916"
"2014","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2015.jpg'",0,"11",27,25,21," 22","0.3902",0.2361,0.1596,0.1175," 0.0662"
"2015","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2014.jpg'",0,"11",27,25,21," 22","0.4232",0.1757,0.1449,0.107," 0.0969"
"2016","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2016.jpg'",0,"27",11,21,25," 22","0.3238",0.3092,0.1598,0.1037," 0.0567"
"2017","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_2019.jpg'",0,"11",25,27,21," 22","0.5755",0.1045,0.1019,0.0998," 0.0889"
